description	enabled	ladder	min diff	version	op	param	value	class	numinputs	input 1	input 2	input 3	input 4	input 5	input 6	input 7	output	lvl	plvl	ilvl	mod 1	mod 1 chance	mod 1 param	mod 1 min	mod 1 max	mod 2	mod 2 chance	mod 2 param	mod 2 min	mod 2 max	mod 3	mod 3 chance	mod 3 param	mod 3 min	mod 3 max	mod 4	mod 4 chance	mod 4 param	mod 4 min	mod 4 max	mod 5	mod 5 chance	mod 5 param	mod 5 min	mod 5 max	output b	b lvl	b plvl	b ilvl	b mod 1	b mod 1 chance	b mod 1 param	b mod 1 min	b mod 1 max	b mod 2	b mod 2 chance	b mod 2 param	b mod 2 min	b mod 2 max	b mod 3	b mod 3 chance	b mod 3 param	b mod 3 min	b mod 3 max	b mod 4	b mod 4 chance	b mod 4 param	b mod 4 min	b mod 4 max	b mod 5	b mod 5 chance	b mod 5 param	b mod 5 min	b mod 5 max	output c	c lvl	c plvl	c ilvl	c mod 1	c mod 1 chance	c mod 1 param	c mod 1 min	c mod 1 max	c mod 2	c mod 2 chance	c mod 2 param	c mod 2 min	c mod 2 max	c mod 3	c mod 3 chance	c mod 3 param	c mod 3 min	c mod 3 max	c mod 4	c mod 4 chance	c mod 4 param	c mod 4 min	c mod 4 max	c mod 5	c mod 5 chance	c mod 5 param	c mod 5 min	c mod 5 max	*eol
cm214	1			100					4	"armo,exc,uni"	"r18g,qty=1"	"r20g,qty=1"	"gg4d,qty=1"				"useitem,mod,eli"																																																																																							0
cm215	1			100					4	"weap,bas,rar"	"r09g,qty=1"	"r11g,qty=1"	"gg4s,qty=1"				"useitem,mod,exc"																																																																																							0
cm216	1			100					4	"armo,bas,rar"	"r08g,qty=1"	"r10g,qty=1"	"gg4a,qty=1"				"useitem,mod,exc"																																																																																							0
cm217	1			100					4	"weap,exc,rar"	"r19g,qty=1"	"r22g,qty=1"	"gg4s,qty=1"				"useitem,mod,eli"																																																																																							0
cm218	1			100					4	"armo,exc,rar"	"r18g,qty=1"	"r21g,qty=1"	"gg4a,qty=1"				"useitem,mod,eli"																																																																																							0
cm219	1			100					4	"weap,bas,crf"	"r09g,qty=1"	"r11g,qty=1"	"gg4s,qty=1"				"useitem,mod,exc"																																																																																							0
cm220	1			100					4	"armo,bas,crf"	"r08g,qty=1"	"r10g,qty=1"	"gg4a,qty=1"				"useitem,mod,exc"																																																																																							0
cm221	1			100					4	"weap,exc,crf"	"r19g,qty=1"	"r22g,qty=1"	"gg4s,qty=1"				"useitem,mod,eli"																																																																																							0
cm222	1			100					4	"armo,exc,crf"	"r18g,qty=1"	"r21g,qty=1"	"gg4a,qty=1"				"useitem,mod,eli"																																																																																							0
cm223	1			100					2	"weap,noe"	"r09g,qty=1"						"useitem,rep,rch,qty=255"																																																																																							0
cm224	1			100					2	"armo,noe"	"r08g,qty=1"						"useitem,rep,rch,qty=255"																																																																																							0
cm225	1			100					3	weap	"r33g,qty=1"	"gg4z,qty=1"					"useitem,rep,rch,qty=255"																																																																																							0
cm226	1			100					3	armo	"r33g,qty=1"	"gg4z,qty=1"					"useitem,rep,rch,qty=255"																																																																																							0
cm227	1			100					3	"any,sock"	"r15g,qty=1"	tsc					"useitem,uns"																																																																																							0
cm228				100					3	"armo,hiq,nos"	jew	"r08g,qty=1"					"useitem,tmp"																																																																																							0
cm229				100					3	"weap,hiq,nos"	jew	"r08g,qty=1"					"useitem,tmp"																																																																																							0
cm230				100					3	"ring,mag"	jew	"r08g,qty=1"					"usetype,tmp"				pr263			3	3																																																																															0
cm231				100					3	"amu,mag"	jew	"r08g,qty=1"					"usetype,tmp"				pr263			5	5																																																																															0
cm232				100					3	"weap,tmp"	"r01g,qty=1"	"gcv,qty=1"					useitem				pr263			2	2	pr15			30	50																																																																										0
cm233	1								2	"weap,mag"	"gem0,qty=3"						"usetype,mag"	25		50	pr133			1	2																																																																															0
cm234	1		2	100	28	1			3	"pk1,qty=1"	"pk2,qty=1"	"pk3,qty=1"					Pandemonium Portal																																																																																							0
cm235			2	100	28	1			3	"dhn,qty=1"	"bey,qty=1"	"mbr,qty=1"					Pandemonium Finale Portal																																																																																							0
cm236			2	100	28	1			3	"dhn,qty=1"	"bey,qty=1"	"mbr,qty=1"					Pandemonium Finale Portal																																																																																							0
cm237	1		2	3	28	1			1	"ubor,qty=3"							Pandemonium Finale Portal																																																																																							0
cm238	1			100					4	"tes,qty=1"	"ceh,qty=1"	"bet,qty=1"	"fed,qty=1"				toa																																																																																							0
cm239	1			100					4	"weap,bas,set"	"r08g,qty=1"	"r12g,qty=1"	"gg4e,qty=1"				"useitem,mod,exc"																																																																																							0
cm240	1			100					4	"armo,bas,set"	"r07g,qty=1"	"r13g,qty=1"	"gg4d,qty=1"				"useitem,mod,exc"																																																																																							0
cm241	1			100					4	"weap,exc,set"	"r17g,qty=1"	"r21g,qty=1"	"gg4e,qty=1"				"useitem,mod,eli"																																																																																							0
cm242	1			100					4	"armo,exc,set"	"r18g,qty=1"	"r20g,qty=1"	"gg4d,qty=1"				"useitem,mod,eli"																																																																																							0
cm243	1			100					2	"2han,nos"	"lbox,qty=1"						useitem			100	pr133			2	4																																																																															0
cm244	1			100					2	"bow,nos"	"lbox,qty=1"						useitem			100	pr133			2	4																																																																															0
cm245	1			100					2	"xbow,nos"	"lbox,qty=1"						useitem			100	pr133			2	4																																																																															0
cm246	1			100					2	"weap,nos"	"lbox,qty=1"						useitem			100	pr133			1	2																																																																															0
cm247	1			100					2	"helm,nos"	"lbox,qty=1"						useitem			100	pr133			1	2																																																																															0
cm248	1			100					2	"tors,nos"	"lbox,qty=1"						useitem			100	pr133			1	2																																																																															0
cm249	1			100					2	"shld,nos"	"lbox,qty=1"						useitem			100	pr133			1	2																																																																															0
cm250	1			2	18	361			4	"any,mag"	"ggm4,qty=3"						"usetype,mag"			100																																																																																				0
cm251	1			2	18	361			7	"any,rar"	"gg4z,qty=6"						"usetype,rar"		40	40																																																																																				0
cm252	1				18	361			3	"any,rar"	"gg4z,qty=1"	The Stone of Jordan					"usetype,rar"		66	66																																																																																				0
cm253	1				18	361			3	"any,rar,nos"	"gg4z,qty=3"	The Stone of Jordan					"useitem,sock=1"																																																																																							0
cm254	1			100					3	"dcbl,qty=1"	"dcho,qty=1"	"dcso,qty=1"					dcma																																																																																							0
cm255																	void																																																																																							0
cm256	1			100	18	458			2	map	"std,qty=1"						useitem			100	pr271	100		1	1	pr363	100		20	20	pr364	100		20	20	pr282	100		20	20	pr283	100		10	10																																																											0
cm257	1			100	18	361			2	map	"wss,qty=1"						useitem			100	pr270	100		1	1000																					"wss,qty=1"																																																										0
cm258																	void																																																																																							0
cm259	1			100	16	361	100		2	t1me	"wss,qty=1"						"usetype,rar"			100	pr269	100		1	1	pr270	100		1001	1001																																																																										0
cm260	1			100	16	361	200		2	t1me	"wss,qty=1"						"usetype,rar"			100	pr269	100		1	1	pr270	100		1001	1001																																																																										0
cm261	1			100	16	361	300		2	t1me	"wss,qty=1"						"t2me,rar"			100	pr269	100		1	1	pr270	100		1001	1001																																																																										0
cm262																	void																																																																																							0
cm263	1			100	16	361	400		2	t1me	"wss,qty=1"						useitem			100	pr269	100		1	1	pr270	100		1001	1001	pr349	100		5	10	pr282	100		25	50	pr283	100		4	6																																																											0
cm264	1			100	16	361	500		2	t1me	"wss,qty=1"						useitem			100	pr269	100		1	1	pr270	100		1001	1001	pr359	100		5	15	pr282	100		25	50	pr283	100		4	6																																																											0
cm265	1			100	16	361	600		2	t1me	"wss,qty=1"						useitem			100	pr269	100		1	1	pr270	100		1001	1001	pr360	100		-15	-5	pr282	100		25	50	pr281	100		25	50																																																											0
cm266	1			100	16	361	700		2	t1me	"wss,qty=1"						useitem			100	pr269	100		1	1	pr270	100		1001	1001	pr356	100		-10	-5	pr282	100		25	50	pr281	100		25	50																																																											0
cm267	1			100	16	361	800		2	t1me	"wss,qty=1"						useitem			100	pr269	100		1	1	pr270	100		1001	1001	pr362	100		20	30																																																																					0
